item,item_max,n_pairs,orig_mean,orig_sd,rewrite_mean,rewrite_sd,mean_diff,sd_diff,median_diff,n_improved,n_declined,n_unchanged
Title,1,1066,0.225140712945591,0.41787100565171287,0.8780487804878049,0.3273830529302475,0.6529080675422139,0.4782361812552603,1.0,697,1,368
Trial_Design,2,1066,0.6125703564727955,0.596540541045658,0.9718574108818011,0.6318284980995673,0.3592870544090056,0.6709205071482511,0.0,368,51,647
Participants,2,1066,1.0872420262664164,0.8980346258667362,1.6041275797373358,0.7398400021481334,0.5168855534709194,0.9365785600238061,0.0,416,68,582
Intervention,2,1066,1.4136960600375235,0.8831016814808063,1.703564727954972,0.6989774248194979,0.2898686679174484,0.7999005698852982,0.0,207,30,829
Objective,1,1066,0.7720450281425891,0.41971032022114974,0.8067542213883677,0.39502940950242493,0.03470919324577861,0.546191044540335,0.0,178,141,747
Method_Outcome,2,1066,1.1181988742964353,0.8769917327882933,1.6651031894934334,0.6525082257313655,0.5469043151969981,0.8955575199767993,0.0,430,56,580
Randomisation_Allocation,2,1066,0.29924953095684803,0.48791921868985233,1.2560975609756098,0.9167637332407924,0.9568480300187617,0.8764069891815426,1.0,657,12,397
Blinding,3,1066,0.3227016885553471,0.777011621677886,0.797373358348968,1.042853005006036,0.474671669793621,0.9016500966521824,0.0,384,24,658
Number_Randomised,2,1066,0.8198874296435272,0.7050577750718415,1.146341463414634,0.6859904129603687,0.32645403377110693,0.7331160558917316,0.0,359,81,626
Number_Analysed,2,1066,0.4549718574108818,0.631221075500183,0.8095684803001876,0.7862327132240198,0.3545966228893058,0.8380406819194189,0.0,341,100,625
Result_Outcome,3,1066,1.9606003752345216,1.0930189126618435,2.265478424015009,0.8795376538332884,0.3048780487804878,1.0649845748828237,0.0,244,106,716
Harms,1,1066,0.36679174484052535,0.48215520436484716,0.7617260787992496,0.42622749993898107,0.3949343339587242,0.538414160187578,0.0,448,27,591
Trial_Registration,1,1066,0.20168855534709193,0.40144920644144383,0.4474671669793621,0.49746603097359693,0.24577861163227016,0.4350878209902376,0.0,264,2,800
Funding,1,1066,0.016885553470919325,0.1289031373341084,0.2570356472795497,0.4372043415689782,0.2401500938086304,0.4273749725031368,0.0,256,0,810
