comparison,n_pairs,mean_diff,median_diff,sd_diff,ci_lower,ci_upper,t_stat,p_value,cohens_d,item,item_max,mean_orig_pct,mean_rewrite_pct
250 vs Original,1066,65.29080675422139,100.0,47.82361812552603,62.416681028375244,68.16493248006753,44.574677264672765,1.0256138161252062e-245,1.3652418891194722,Title,1,22.5140712945591,87.8048780487805
250 vs Original,1066,17.964352720450282,0.0,33.54602535741256,15.948288310046241,19.980417130854324,17.48433443842367,2.259858851143219e-60,0.5355135974843814,Trial_Design,2,30.628517823639775,48.592870544090054
250 vs Original,1066,25.844277673545967,0.0,46.828928001190306,23.029931290787047,28.658624056304888,18.01892114585035,1.4582957049825806e-63,0.5518870231855202,Participants,2,54.36210131332083,80.2063789868668
250 vs Original,1066,14.49343339587242,0.0,39.995028494264915,12.089793838539114,16.89707295320573,11.831610684008764,1.963919639282882e-30,0.36238087436168986,Intervention,2,70.68480300187618,85.17823639774859
250 vs Original,1066,3.4709193245778613,0.0,54.6191044540335,0.1883953461123804,6.753443303043342,2.074811023022801,0.03824375291922213,0.06354771575390672,Objective,1,77.20450281425892,80.67542213883678
250 vs Original,1066,27.345215759849907,0.0,44.77787599883997,24.654134440590163,30.03629707910965,19.938682941723634,2.0510438541184907e-75,0.6106858610390168,Method_Outcome,2,55.909943714821765,83.25515947467167
250 vs Original,1066,47.84240150093809,50.0,43.82034945907713,45.208866050623044,50.47593695125313,35.646405002533356,8.034177649762752e-184,1.0917850289080206,Randomisation_Allocation,2,14.962476547842401,62.80487804878049
250 vs Original,1066,15.822388993120699,0.0,30.055003221739412,14.016129631412483,17.628648354828915,17.18833782737355,1.252796905719235e-58,0.526447755682689,Blinding,3,10.756722951844901,26.5791119449656
250 vs Original,1066,16.322701688555348,0.0,36.655802794586585,14.119744448119546,18.52565892899115,14.538778181452729,8.065488449031964e-44,0.4452965272654163,Number_Randomised,2,40.99437148217636,57.31707317073171
250 vs Original,1066,17.72983114446529,0.0,41.90203409597095,15.211583490253789,20.24807879867679,13.81491114381502,4.720844958670265e-40,0.42312578677821483,Number_Analysed,2,22.74859287054409,40.47842401500938
250 vs Original,1066,10.162601626016261,0.0,35.49948582942746,8.02913725264194,12.296065999390583,9.3467675279336,5.1406431630238973e-20,0.2862746146478529,Result_Outcome,3,65.35334584115071,75.51594746716698
250 vs Original,1066,39.49343339587242,0.0,53.841416018757805,36.25764729350515,42.729219498239694,23.948979942438267,9.52175704126999e-102,0.733514017946952,Harms,1,36.67917448405253,76.17260787992495
250 vs Original,1066,24.577861163227016,0.0,43.50878209902376,21.963050430948005,27.192671895506027,18.443602867879807,3.922273229785036e-66,0.5648942576073277,Trial_Registration,1,20.168855534709195,44.74671669793621
250 vs Original,1066,24.015009380863038,0.0,42.73749725031368,21.446551679001224,26.58346708272485,18.346459947155815,1.5282856189139587e-65,0.5619189453281983,Funding,1,1.6885553470919326,25.703564727954973
